display_name_jpn,reading_jpn
神の宣告,かみのせんこく
神の恵み,かみのめぐみ
亀の誓い,かめのちかい
仮面呪術師カースド・ギュラ,かめんじゅじゅつしカースド・ギュラ
仮面道化,かめんどうけ
仮面魔獣デス・ガーディウス,かめんまじゅうデス・ガーディウス
仮面魔獣の儀式,かめんまじゅうのぎしき
仮面魔獣マスクド・ヘルレイザー,かめんまじゅうマスクド・ヘルレイザー
仮面魔道士,かめんまどうし
カラクリ蜘蛛,カラクリグモ
カラス天狗,カラスてんぐ
ガラスの鎧,ガラスのよろい
カラテマン,カラテマン
ガルーザス,ガルーザス
ガルヴァス,ガルヴァス
カルボナーラ戦士,カルボナーラせんし
ガルマソード,ガルマソード
ガルマソードの誓い,ガルマソードのちかい
岩窟魔人オーガ・ロック,がんくつまじんオーガ・ロック
岩石カメッター,がんせきカメッター
岩石の巨兵,がんせきのきょへい
岩石の精霊,がんせきのせいれい
冠を戴く蒼き翼,かんむりをいただくあおきつばさ
ガンロック,ガンロック
キーメイス,キーメイス
機械王,きかいおう
機械改造工場,きかいかいぞうこうじょう
機械の巨兵,きかいのきょへい
機械の兵隊,きかいのへいたい
ギガテック・ウルフ,ギガテック・ウルフ
ギガント,ギガント
寄生虫パラサイド,きせいちゅうパラサイド
奇跡の発掘,きせきのはっくつ
北風と太陽,きたかぜとたいよう
きのこマン,きのこマン
きまぐれの女神,きまぐれのめがみ
逆転の女神,ぎゃくてんのめがみ
青虫,キャタピラー
キャッツ・フェアリー,キャッツ・フェアリー
キャット・レディ,キャット・レディ
キャノン・ソルジャー,キャノン・ソルジャー
ギャンブル,ギャンブル
究極完全態・グレート・モス,きゅうきょくかんぜんたい・グレート・モス
吸血ノミ,きゅうけつノミ
旧神の印,きゅうしんのいん
牛魔人,ぎゅうまじん
強制接収,きょうせいせっしゅう
凶暴化の仮面,きょうぼうかのかめん
恐竜人,きょうりゅうじん
魚ギョ戦士,ギョギョせんし
巨大化,きょだいか
巨大な怪鳥,きょだいなかいちょう
巨大ネズミ,きょだいネズミ
キラー・ザ・クロー,キラー・ザ・クロー
キラー・スネーク,キラー・スネーク
キラー・トマト,キラー・トマト
キラーパンダ,キラーパンダ
キラー・ビー,キラー・ビー
キラー・ブロッブ,キラー・ブロッブ
キラー・マシーン,キラー・マシーン
ギロチン・クワガタ,ギロチン・クワガタ
金色の魔象,きんいろのまぞう
キング・スモーク,キング・スモーク
禁止令,きんしれい
金属探知器,きんぞくたんちき
銀の弓矢,ぎんのゆみや
銀幕の鏡壁,ぎんまくのミラーウォール
クイーン・バード,クイーン・バード
くいぐるみ,くいぐるみ
鎖付きブーメラン,くさりつきブーメラン
クジャック,クジャック
苦渋の選択,くじゅうのせんたく
くちばしヘビ,くちばしヘビ
首なし騎士,くびなしきし
蜘蛛男,クモおとこ
海月－ジェリーフィッシュ－,くらげ－ジェリーフィッシュ－
クラッシュマン,クラッシュマン
グラップラー,グラップラー
グラヴィティ・バインド－超重力の網－,グラヴィティ・バインド－ちょうじゅうりょくのあみ－
クラブ・タートル,クラブ・タートル
グリグル,グリグル
グリズリーマザー,グリズリーマザー
クリッター,クリッター
グリフォール,グリフォール
グリフォンの翼,グリフォンのつばさ
クリボー,クリボー
クリボートークン,クリボートークン
クレイジー・フィッシュ,クレイジー・フィッシュ
グレード・ビル,グレード・ビル
グレート・ホワイト,グレート・ホワイト
グレート・モス,グレート・モス
クレセント・ドラゴン,クレセント・ドラゴン
グレムリン,グレムリン
紅蓮の女守護兵,ぐれんのおんなしゅごへい
黒い影の鬼王,くろいかげのオーガ
黒き人食い鮫,くろきひとくいザメ
黒き森のウィッチ,くろきもりのウィッチ
クロコダイラス,クロコダイラス
グロス,グロス
クロス・ソウル,クロス・ソウル
黒魔術のカーテン,くろまじゅつのカーテン
黒魔族のカーテン,くろまぞくのカーテン
クワガー・ヘラクレス,クワガー・ヘラクレス
クワガタ・アルファ,クワガタ・アルファ
ゲート・ガーディアン,ゲート・ガーディアン
ゲート・キーパー,ゲート・キーパー
ゲール・ドグラ,ゲール・ドグラ
激流葬,げきりゅうそう
幻影の壁,げんえいのかべ
幻影の妖精,げんえいのようせい
検閲,けんえつ
厳格な老魔術師,げんかくなろうまじゅつし
幻獣王ガゼル,げんじゅうおうガゼル
幻想召喚師,げんそうしょうかんし
ケンタウロス,ケンタウロス
幻惑の巻物,げんわくのまきもの
強引な番兵,ごういんなばんぺい
攻撃の無力化,こうげきのむりょくか
『攻撃』封じ,『こうげき』ふうじ
恍惚の人魚,こうこつのマーメイド
強奪,ごうだつ
鋼鉄の巨神像,こうてつのきょしんぞう
荒野,こうや
紅陽鳥,こうようちょう
紅葉の女王,こうようのじょおう
強欲な瓶,ごうよくなかめ
強欲な壺,ごうよくなつぼ
ゴーゴン・エッグ,ゴーゴン・エッグ
ゴースト,ゴースト
ゴースト王－パンプキング－,ゴーストおう－パンプキング－
氷水,こおりみず
コカローチ・ナイト,コカローチ・ナイト
ゴキボール,ゴキボール
黒衣の大賢者,こくいのだいけんじゃ
コケ,コケ
心変わり,こころがわり
コスモクイーン,コスモクイーン
古代の遠眼鏡,こだいのとおめがね
古代のトカゲ戦士,こだいのトカゲせんし
古代魔導士,こだいまどうし
コトダマ,コトダマ
コピックス,コピックス
ゴブリン突撃部隊,ゴブリンとつげきぶたい
ゴブリンの小役人,ゴブリンのこやくにん
ゴブリンの秘薬,ゴブリンのひやく
コマンダー,コマンダー
ゴルゴイル,ゴルゴイル
コロガーシ,コロガーシ
サイガー,サイガー
細菌感染,さいきんかんせん
サイクロプス,サイクロプス
サイクロン,サイクロン
サイクロンレーザー,サイクロンレーザー
サイコ・カッパー,サイコ・カッパー
最終戦争,さいしゅうせんそう
サイバーポッド,サイバーポッド
サイバー・ボンテージ,サイバー・ボンテージ
サイバティック・ワイバーン,サイバティック・ワイバーン
サイファー・スカウター,サイファー・スカウター
サイボーグ・バス,サイボーグ・バス
催眠術,さいみんじゅつ
サウザンド・アイズ・サクリファイス,サウザンド・アイズ・サクリファイス
千年竜,サウザンド・ドラゴン
千本ナイフ,サウザンドナイフ
サキュバス・ナイト,サキュバス・ナイト
サクリファイス,サクリファイス
砂塵の大竜巻,さじんのおおたつまき
サターナ,サターナ
電磁ミノ虫,ザックトレーガー・マグネ
悟りの老樹,さとりのろうじゅ
裁きの鷹,さばきのタカ
裁きを下す女帝,さばきをくだすじょてい
サファイヤ・リサーク,サファイヤ・リサーク
さまよえる亡者,さまよえるもうじゃ
サラマンドラ,サラマンドラ
ザリガン,ザリガン
斬首の美女,ざんしゅのびじょ
サンダー・キッズ,サンダー・キッズ
サンダー・ドラゴン,サンダー・ドラゴン
サンダー・ボルト,サンダー・ボルト
砂の魔女,サンド・ウィッチ
サンド・ストーン,サンド・ストーン
酸の嵐,さんのあらし
３万年の白亀,３まんねんのしろカメ
シーカーメン,シーカーメン
海の竜王,シー・キング・ドラゴン
シーザリオン,シーザリオン
シーホース,シーホース
紫炎の影武者,シエンのかげむしゃ
屍を貪る竜,しかばねをむさぼるりゅう
自業自得,じごうじとく
地獄の裁判,じごくのさいばん
磁石の戦士マグネット・バルキリオン,じしゃくのせんしマグネット・バルキリオン
死者蘇生,ししゃそせい
死者の腕,ししゃのうで
死者の生還,ししゃのせいかん
死者への供物,ししゃへのくもつ
死者への手向け,ししゃへのたむけ
漆黒の豹戦士パンサーウォリアー,しっこくのひょうせんしパンサーウォリアー
疾風の暗黒騎士ガイア,しっぷうのあんこくきしガイア
死神のドクロイゾ,しにがみのドクロイゾ
死神ブーメラン,しにがみブーメラン
死の沈黙の天使　ドマ,しのちんもくのてんし　ドマ
死のデッキ破壊ウイルス,しのデッキはかいウイルス
死のマジック・ボックス,しのマジック・ボックス
死のメッセージ「Ｅ」,しのメッセージ「イー」
死のメッセージ「Ｈ」,しのメッセージ「エイチ」
死のメッセージ「Ａ」,しのメッセージ「エー」
死のメッセージ「Ｔ」,しのメッセージ「ティー」
死の４つ星てんとう虫,しの４つほしてんとうムシ
地盤沈下,じばんちんか
慈悲深き修道女,じひぶかきしゅうどうじょ
しびれ薬,しびれぐすり
シフトチェンジ,シフトチェンジ
島亀,しまガメ
邪悪な儀式,じゃあくなぎしき
邪悪なるワーム・ビースト,じゃあくなるワーム・ビースト
ジャイアントウィルス,ジャイアントウィルス
シャイン・アビス,シャイン・アビス
シャインエンジェル,シャインエンジェル
シャイン・キャッスル,シャイン・キャッスル
シャインスパーク,シャインスパーク
邪炎の翼,じゃえんのつばさ
弱体化の仮面,じゃくたいかのかめん
灼熱の槍,しゃくねつのやり
ジャグラー,ジャグラー
邪剣男爵,じゃけんだんしゃく
ジャジメント・ザ・ハンド,ジャジメント・ザ・ハンド
ジャッジ・マン,ジャッジ・マン
シャドウ・グール,シャドウ・グール
シャドウ・ファイター,シャドウ・ファイター
ジャベリンビートル,ジャベリンビートル
ジャベリンビートルの契約,ジャベリンビートルのけいやく
シャベル・クラッシャー,シャベル・クラッシャー
１３人目の埋葬者,１３にんめのまいそうしゃ
執念の剣,しゅうねんのつるぎ
守護霊のお守り,しゅごれいのおまもり
呪魂の仮面,じゅこんのかめん
『守備』封じ,『しゅび』ふうじ
俊足のギラザウルス,しゅんそくのギラザウルス
昇天の角笛,しょうてんのつのぶえ
成仏,じょうぶつ
城壁,じょうへき
昇霊術師　ジョウゲン,しょうれいじゅつし　ジョウゲン
女王の影武者,じょおうのかげむしゃ
女帝カマキリ,じょていカマキリ
地雷蜘蛛,じらいグモ
地雷獣,じらいじゅう
死霊の誘い,しりょうのいざない
死霊の巣,しりょうのす
死霊伯爵,しりょうはくしゃく
磁力の指輪,じりょくのゆびわ
シルバー・フォング,シルバー・フォング
地割れ,じわれ
深淵に咲く花,しんえんにさくはな
深淵の冥王,しんえんのめいおう
深海に潜むサメ,しんかいにひそむサメ
深海の戦士,しんかいのせんし
進化の繭,しんかのまゆ
心眼の女神,しんがんのめがみ
神魚,しんぎょ
真実の眼,しんじつのめ
人造人間－サイコ・ショッカー,じんぞうにんげん－サイコ・ショッカー
人造人間７号,じんぞうにんげん７ごう
水魔神－スーガ,すいましん－スーガ
水陸の帝王,すいりくのていおう
水陸両用バグロス,すいりくりょうようバグロス
スーパー・ウォー・ライオン,スーパー・ウォー・ライオン
スーパースター,スーパースター
天空竜,スカイ・ドラゴン
スカイ・ハンター,スカイ・ハンター
スカルビショップ,スカルビショップ
スカルライダー,スカルライダー
スカルライダーの復活,スカルライダーのふっかつ
スケープ・ゴート,スケープ・ゴート
スケルエンジェル,スケルエンジェル
スケルゴン,スケルゴン
スコール,スコール
朱雀,すざく
スター・ボーイ,スター・ボーイ
スティング,スティング
ストーン・アルマジラー,ストーン・アルマジラー
ストーン・ゴースト,ストーン・ゴースト
ストーンジャイアント,ストーンジャイアント
ストーン・ドラゴン,ストーン・ドラゴン
スネーク・パーム,スネーク・パーム
スパイクシードラ,スパイクシードラ
スパイク・ヘッド,スパイク・ヘッド
素早いモモンガ,すばやいモモンガ
スピック,スピック
スフィア・ボム　球体時限爆弾,スフィア・ボム　きゅうたいじげんばくだん
スフィラスレディ,スフィラスレディ
スライム増殖炉,スライムぞうしょくろ
スライムモンスタートークン,スライムモンスタートークン
スリーピィ,スリーピィ
スロットマシーンＡＭ－７,スロットマシーンエーエム－７
聖域の歌声,せいいきのうたごえ
生還の宝札,せいかんのほうさつ
聖女ジャンヌ,せいじょジャンヌ
精神寄生体,せいしんきせいたい
正々堂々,せいせいどうどう
聖なる輝き,せいなるかがやき
聖なる鎖,せいなるくさり
聖なるバリア－ミラーフォース－,せいなるバリア　－ミラーフォース－
精霊の鏡,せいれいのかがみ
セイレーン,セイレーン
セイント・バード,セイント・バード
聖なる魔術師,セイント・マジシャン
世界の平定,せかいのへいてい
隻眼のホワイトタイガー,せきがんのホワイトタイガー
絶対防御将軍,ぜったいぼうぎょしょうぐん
７カード,セブンカード
セベクの祝福,セベクのしゅくふく
ゼミアの神,ゼミアのかみ
ゼラ,ゼラ
ゼラの儀式,ゼラのぎしき
セレモニーベル,セレモニーベル
零式魔導粉砕機,ゼロしきまどうふんさいき
千眼の邪教神,せんがんのじゃきょうしん
穿孔虫,せんこうちゅう
戦士抹殺,せんしまっさつ
センジュ・ゴッド,センジュ・ゴッド
戦場の死装束,せんじょうのしにしょうぞく
千年原人,せんねんげんじん
千年ゴーレム,せんねんゴーレム
千年の盾,せんねんのたて
草原,そうげん
増殖,ぞうしょく
双頭の雷龍,そうとうのサンダー・ドラゴン
ソウル・ハンター,ソウル・ハンター
剣竜,ソード・ドラゴン
ソードハンター,ソードハンター
ゾーン・イーター,ゾーン・イーター
ソニックバード,ソニックバード
そよ風の精霊,そよかぜのせいれい
空の昆虫兵,そらのこんちゅうへい
ソリテュード,ソリテュード
ソロモンの律法書,ソロモンのりっぽうしょ
ゾンビランプ,ゾンビランプ
闇の芸術家,ダーク・アーティスト
ダーク・アイズ・イリュージョニスト,ダーク・アイズ・イリュージョニスト
ダーク・エルフ,ダーク・エルフ
ダーク・キメラ,ダーク・キメラ
ダークキラー,ダークキラー
ダーク・グレイ,ダーク・グレイ
ダークシェイド,ダークシェイド
ダークゼブラ,ダークゼブラ
ダークゾーン,ダークゾーン
Ｄ・ナポレオン,ダーク・ナポレオン
ダーク・ネクロフィア,ダーク・ネクロフィア
ダークバット,ダークバット
ダーク・ヒーロー　ゾンバイア,ダーク・ヒーロー　ゾンバイア
ダークファミリア,ダークファミリア
ダーク・プラント,ダーク・プラント
ダーク・プリズナー,ダーク・プリズナー
ダーク・ラビット,ダーク・ラビット
タートル・タイガー,タートル・タイガー
タートル・狸,タートル・たぬき
タートル・バード,タートル・バード
大王目玉,だいおうめだま
体温の上昇,たいおんのじょうしょう
タイガー・アックス,タイガー・アックス
大寒波,だいかんぱ
太古の壷,たいこのつぼ
ダイス・アルマジロ,ダイス・アルマジロ
大砲だるま,たいほうだるま
タイホーン,タイホーン
タイム・ボマー,タイム・ボマー
ダイヤモンド・ドラゴン,ダイヤモンド・ドラゴン
タクヒ,タクヒ
タクリミノス,タクリミノス
戦いの神　オリオン,たたかいのかみ　オリオン
堕天使マリー,だてんしマリー
頼もしき守護者,たのもしきしゅごしゃ
魂の解放,たましいのかいほう
魂を狩る者,たましいをかるもの
魂を喰らう者　バズー,たましいをくらうもの　バズー
舌魚,たんぎょ
団結の力,だんけつのちから
誕生の天使,たんじょうのてんし
ダンジョン・ワーム,ダンジョン・ワーム
ダンシング・エルフ,ダンシング・エルフ
ダンシング・ソルジャー,ダンシング・ソルジャー
踊る妖精,ダンシングフェアリー
連鎖破壊,チェーン・デストラクション
ヂェミナイ・エルフ,ヂェミナイ・エルフ
チェンジ・スライム,チェンジ・スライム
地殻変動,ちかくへんどう
力の集約,ちからのしゅうやく
血の代償,ちのだいしょう
チャクラ,チャクラ
チャクラの復活,チャクラのふっかつ
昼夜の大火事,ちゅうやのおおかじ
超時空戦闘機ビック・バイパー,ちょうじくうせんとうきビック・バイパー
治療の神　ディアン・ケト,ちりょうのかみ　ディアン・ケト
地を這うドラゴン,ちをはうドラゴン
沈黙の邪悪霊,ちんもくのダーク・スピリット
ツインテール,ツインテール
通行税,つうこうぜい
二つの口を持つ闇の支配者,ツーマウス・ダークルーラー
月明かりの乙女,つきあかりのおとめ
月の使者,つきのししゃ
月の女神　エルザェム,つきのめがみ　エルザェム
翼を織りなす者,つばさをおりなすもの
壺魔人,つぼまじん
剣の女王,つるぎのじょおう
ツルプルン,ツルプルン
ツンドラの大蠍,ツンドラのおおサソリ
ＤＮＡ改造手術,ＤＮＡかいぞうしゅじゅつ
ＴＭ－１ランチャースパイダー,ＴＭ－１ランチャースパイダー
ディスク・マジシャン,ディスク・マジシャン
停戦協定,ていせんきょうてい
ディッグ・ビーク,ディッグ・ビーク
ディフェンド・スライム,ディフェンド・スライム
悪魔の鏡,デーモンズ・ミラー
デーモンの斧,デーモンのおの
デーモンの召喚,デーモンのしょうかん
デーモン・ビーバー,デーモン・ビーバー
デザートストーム,デザートストーム
デス・ストーカー,デス・ストーカー
デス・ソーサラー,デス・ソーサラー
デス・バード,デス・バード
デスハムスター,デスハムスター
デス・フット,デス・フット
デッド・シャーク,デッド・シャーク
鉄の騎士　ギア・フリード,てつのきし　ギア・フリード
鉄のサソリ,てつのサソリ
鉄腕ゴーレム,てつわんゴーレム
デビル・クラーケン,デビル・クラーケン
悪魔の調理師,デビル・コック
デビル・スネーク,デビル・スネーク
デビルズ・ミラー,デビルズ・ミラー
デビルゾア,デビルゾア
デビルツムリ,デビルツムリ
デビル・ドラゴン,デビル・ドラゴン
デビル・フランケン,デビル・フランケン
デビル・ボックス,デビル・ボックス
手札抹殺,てふだまっさつ
手招きする墓場,てまねきするはかば
デュナミス・ヴァルキリア,デュナミス・ヴァルキリア
でんきトカゲ,でんきトカゲ
天狗のうちわ,てんぐのうちわ
電撃鞭,でんげきむち
天使の生き血,てんしのいきち
天使のサイコロ,てんしのサイコロ
天使の手鏡,てんしのてかがみ
天使の施し,てんしのほどこし
転職の魔鏡,てんしょくのまきょう
伝説の剣,でんせつのけん
伝説のフィッシャーマン,でんせつのフィッシャーマン
テンタクル・プラント,テンタクル・プラント
テンダネス,テンダネス
トゥーン・アリゲーター,トゥーン・アリゲーター
トゥーン・デーモン,トゥーン・デーモン
トゥーン・ドラゴン・エッガー,トゥーン・ドラゴン・エッガー
トゥーン・マーメイド,トゥーン・マーメイド
トゥーン・ワールド,トゥーン・ワールド
盗賊の七つ道具,とうぞくのななつどうぐ
東方の英雄,とうほうのえいゆう
トードマスター,トードマスター
ドーピング,ドーピング
時の機械－タイム・マシーン,ときのきかい－タイム・マシーン
刻の封印,ときのふういん
時の魔術師,ときのまじゅつし
時の魔人　ネクロランサ,ときのまじん　ネクロランサ
毒蛇の牙,どくへびのきば
髑髏の寺院,ドクロのじいん
トゲトゲ神の殺虫剤,トゲトゲしんのさっちゅうざい
突進,とっしん
突風,とっぷう
突風の扇,とっぷうのおうぎ
ドッペルゲンガー,ドッペルゲンガー
轟きの大海蛇,とどろきのおおうみへび
トビペンギン,トビペンギン
トモザウルス,トモザウルス
トライホーン・ドラゴン,トライホーン・ドラゴン
トラコドン,トラコドン
竜魂の力,ドラゴニック・フォース
ドラゴヒューマン,ドラゴヒューマン
ドラゴン・エッガー,ドラゴン・エッガー
竜殺者,ドラゴン・キラー
竜魂の石像,ドラゴン・ソウル・スタチュー
ドラゴン族・封印の壺,ドラゴンぞく・ふういんのつぼ
ドラゴン・ゾンビ,ドラゴン・ゾンビ
ドラゴンに乗るワイバーン,ドラゴンにのるワイバーン
ドラゴンの秘宝,ドラゴンのひほう
ドラゴンフライ,ドラゴンフライ
ドラゴンを呼ぶ笛,ドラゴンをよぶふえ
トラップ・マスター,トラップ・マスター
ドリアード,ドリアード
ドリーム・ピエロ,ドリーム・ピエロ
砦を守る翼竜,とりでをまもるよくりゅう
竜巻海流壁,トルネードウォール
トルネード・バード,トルネード・バード
ドレイク,ドレイク
トレント,トレント
ドローバ,ドローバ
ドローン,ドローン
とろける赤き影,とろけるあかきかげ
泥に潜み棲むもの,どろにひそみすむもの
ナイトメア・スコーピオン,ナイトメア・スコーピオン
ナイト・リザード,ナイト・リザード
ナイル,ナイル
謎の傀儡師,なぞのくぐつし
なぞの手,なぞのて
成金ゴブリン,なりきんゴブリン
ニードル・ボール,ニードル・ボール
ニードルワーム,ニードルワーム
偽物のわな,にせもののわな
二頭を持つキング・レックス,にとうをもつキング・レックス
２人３脚ゾンビ,２にん３きゃくゾンビ
ニュート,ニュート
沼地の魔獣王,ぬまちのまじゅうおう
ねずみ取り,ねずみとり
首狩り魔人,ネック・ハンター
眠り子,ねむりこ
眠れる獅子,ねむれるシシ
粘着テープの家,ねんちゃくテープのいえ
呪われし魔剣,のろわれしまけん
バーグラー,バーグラー
バーサーカー,バーサーカー
ハードアーマー,ハードアーマー
バードマン,バードマン
バーニングソルジャー,バーニングソルジャー
バーニングブラッド,バーニングブラッド
バーバリアン１号,バーバリアン１ごう
バーバリアン２号,バーバリアン２ごう
ハーピィズペット竜,ハーピィズペットドラゴン
ハーピィの羽根帚,ハーピィのはねぼうき
ハーピィ・レディ,ハーピィ・レディ
ハーピィ・レディ・ＳＢ,ハーピィ・レディ・サイバー・ボンテージ
ハーピィ・レディ三姉妹,ハーピィ・レディさんしまい
ハープの精,ハープのせい
バイオ僧侶,バイオそうりょ
Ｂ・プラント,バイオ・プラント
ハイ・プリーステス,ハイ・プリーステス
墓荒らし,はかあらし
墓荒らしの報い,はかあらしのむくい
破壊神　ヴァサーゴ,はかいしん　ヴァサーゴ
破壊のゴーレム,はかいのゴーレム
破壊輪,はかいりん
はがねの甲羅,はがねのこうら
墓場からの呼び声,はかばからのよびごえ
墓掘りグール,はかほりグール
墓守の使い魔,はかもりのつかいま
白衣の天使,はくいのてんし
爆弾かめ虫,ばくだんかめムシ
白兵戦,はくへいせん
はさみ撃ち,はさみうち
バスター・ブレイダー,バスター・ブレイダー
裸の王様,はだかのおうさま
薄幸の美少女,はっこうのびしょうじょ
バット,バット
ハッピー・ラヴァー,ハッピー・ラヴァー
パトロール・ロボ,パトロール・ロボ
はにわ,はにわ
ハネハネ,ハネハネ
バビロン,バビロン
バフォメット,バフォメット
早すぎた埋葬,はやすぎたまいそう
隼の騎士,はやぶさのきし
バラに棲む悪霊,バラにすむあくりょう
ハリケーン,ハリケーン
